;-------------------------------------------------
;0-199 General
;-------------------------------------------------
処女,Virgin
闇の能力者,Darkness Ability
狂王の虜,Mad King's Captive
常識改変【戦闘】,Behavior: 【Combat】
冒涜者,Blasphemer
常識改変【日常】,Behavior: 【Usual】

;-------------------------------------------------
;290-Conditions and titles
;-------------------------------------------------
保証人,Guarantor
初心者,Amateur
魔王の影,Devil King's Shadow

髪の色,Hair Color
髪の状態,Hair Condition
髪の長さ,Hair Length
髪のカット,Hair Cut
髪のセット,Hair Style
目,Eyes
瞳の色,Eye Color
唇,Lips
肉付き,Body
乳首,Nipples
陰毛の状態,Pubic Hair Condition
陰毛生育限界,Pubic Hair Growth Limit
チャームポイント,Charming Feature
癖,Habit

種族,Race
勇者になる前の生活,Previous Occupation
勇者になったきっかけ,Motivation To Become A Hero
好きなもの,Likes
ペニスの状態,Penis Condition
種族２,Race(2)

;---------------------------------------------------------------------------------------------
家族構成,Family Structure
元種族,Original Race
サブ種族,Sub-Race
父親の種族,Father's Race
母親の種族,Mother's Race

魔界知識,Demonic Knowledge
肉芽の呪い,Curse Of Granulation
淫魔知識,Succubus Knowledge
魔蟲知識,Magical Insect Knowledge
;-------------------------------------------------
異常妊娠体質,Abnormal Pregnancy
乳内妊娠,Breast Pregnancy
精巣妊娠,Testicular Pregnancy

;-------------------------------------------------
;Mad King's exclusive personality
狂王,Mad King
;-------------------------------------------------
;400- Skills
;-------------------------------------------------
なし,None
粘液捕獲,Sticky Traps
落とし穴捕獲,Pitfall Traps
蔦捕獲,Vine Traps
鎧破壊,Armor Destruction
透明,Transparency
再生,Regeneration
擬態,Mimicry
迷い,Confusion
ブレス,Breath
麻痺ガス,Paralytic Gas
誘惑,Seduction
混乱,Chaos
経験値吸収,Experience Absorption
鎧破壊ブレス,Armor Destructing Breath
魔力吸収,Magic Absorption
